Title,URL,Authority,Subjects,Description,Access,Start Date,Location,Reuse,Deposit,Type,Source
1000 Genomes (Thousand Genomes) (A deep catalog of human genetic variation),http://www.1000genomes.org/,"European Bioinformatics Institute, EBI, National Institutes of Health, National Human Genome Research Institute�, NHGRI, genome.gov, Wellcome Trust Sanger Institute, Sanger, National Center for Biotechnology Information , NCBI","Pharmacology, Human genetics","The 1000 Genomes Project is an international collaboration to produce an extensive public catalog of human genetic variation, including SNPs and structural variants, and their haplotype contexts. This resource will support genome-wide association studies and other medical research studies.
The genomes of about 2500 unidentified people from about 25 populations around the world will be sequenced using next-generation sequencing technologies. The results of the study will be freely and publicly accessible to researchers worldwide.",open,2008,,open; other - http://www.1000genomes.org/data#DataAccess,closed,disciplinary/institutional,
3TU.Datacentrum,http://datacentrum.3tu.nl,3TU.Federation of Technical Universities of the Netherlands,"Radar meteorology, Data archives, Cryoelectronics, Watershed hydrology, Hydrology, Climatology, Physics, Traffic flow, Land use","A multidisciplinary data repository for a consortium of universities in the Netherlands housing over 5,000 datatsets. The focus is on scientific and technical datasets produced by Dutch researchers including datasets from doctoral research. Users can deposit up to 1G by completing an upload form. Future collection development foci include applied sciences, biomedical technology, earth sciences, and technology and construction.",Open,2008,Netherlands,Open,Open; http://datacentrum.3tu.nl/en/store-data/upload-form/,Consortial,
Academic Seismic Portal at UTIG (ASP),http://www.ig.utexas.edu/sdc/,"National Science Foundation, NSF, Columbia University, Lamont -Doherty Earth Observatory, LDEO, University of Texas at Austin, Institute for Geophysics, UTIG",,The Academic Seismic Portal (ASP) at UTIG serves up seismic and other data acquired on marine geology and geophysics cruises. Web access provides the public a unique opportunity to look beneath the world's ocean floor. ,open,2003,United States,restricted; CC - http://www.marine-geo.org/about/terms_of_use.php,restricted: registration; Contribute Data - http://www.ig.utexas.edu/sdc/about/contribute.php,disciplinary,
Access to Archival Databases (AAD),http://aad.archives.gov/aad/,National Archives and Records Administration [NARA],"Political activists, Social history, Government information","The AAD is a database through the U.S. National Archives and Records Administration that allows users to search by keyword or category. Specific topics in personal history, private sectors, places, wars or time periods can be chosen to help filter your research findings of the 85 million electronic records that have been made available. ",Open/Closed,2003,United States,,,Governmental,
ACEpepDB: Peptide Database,http://www.cftri.com/pepdb/,Central Food Technological Research Institute,"Food industry and trade, Peptide antibiotics, Peptide drugs, Peptide hormones","ACEpepDB is a database ran by the Central Food Technological Research Institute. It contains records of about 865 peptides. Each record provides information on the food source, preparation,  purification and any other additional information. Each record includes the reference(s). The database provides a search and browsing option for a more personalized research experience. ",Open Access,2011,India,Open,Accepting data from the internal users,Disciplinary,
Addgene Plasmid Database,http://www.addgene.org,Addgene,"Molecular biology, Plasmids--Research, Plasmids--Genetics, Plasmids, Sequence alignment (Bioinformatics)","Addgene is a non-profit organization dedicated to making it easier for scientists to share plasmids.
Addgene operates a plasmid repository for the research community. They work with laboratories to assemble a high-quality library of published and useful plasmids and their associated cloning/sequence data for use in research and discovery. By linking plasmids with articles, scientists can find data related to the materials they request.",Limited (Some available to academic and non-profits only; for purchase),2004,United States,Material Transfer Agreement; http://www.addgene.org/mta/,Free deposit of plasmids,Commercial/Disciplinary,
ADPSS Sociodata (Data Archive for Social Sciences),http://www.sociologiadip.unimib.it/sociodata/eng/index.php,"University of Milan - Bicocca, Department of Sociology and Social Research",Social sciences,"ADPSS-Sociodata is one of the most important Data Archive for the Social Sciences present in the Italian universities. Its aim is promoting social sciences data exchange, sharing and analysis.",open,1999,,closed; other - http://www.sociologiadip.unimib.it/sociodata/eng/index.php?w=modalita,closed,disciplinary,
Adult Blood Lead Epidemiology and Surveillance (ABLES) Interactive Database,http://wwwn.cdc.gov/niosh-survapps/ables/,National Institute for Occupational Safety and Health (NIOSH),"Blood, Lead, Occupational diseases",ABLES provides data on lead exposure of adults in the United States.  The data comes from laboratory-reported elevated blood lead levels.,Open,2002,United States,Open,Closed,Governmental,
Advanced Cooperative Arctic Data and Information Service (ACADIS),http://www.aoncadis.org,"National Snow and Ice Data Center (NSIDC), National Center for Atmospheric Research (NCAR), University Corporation for Atmospheric Research (UCAR)","Arctic Regions, Permafrost, Biology, Oceanography, Cryosphere, Sea ice, Arctic peoples, Atmosphere, Remote sensing, Biogeochemistry, Glaciers, Physical sciences","The Advanced Cooperative Arctic Data and Information Service (ACADIS) program includes data management services.  ACADIS is also a repository for Arctic research data. Data include long-term observational timeseries, local, regional, and system-scale research from many diverse domains.",Open,2007,United States,,Open-Must be a member,Multidisciplinary,
Advanced Spaceborne Thermal Emission and Reflection Radiometer [ASTER],http://asterweb.jpl.nasa.gov/data.asp,National Aeronautics and Space Administration (NASA),"Climatology, Cartography, Earth sciences, Maps, Topographical surveying, Geospatial data","The Advanced Spaceborne Thermal Emission and Reflection Radiometer (ASTER) is an imaging instrument onboard Terra, the flagship satellite of NASA's Earth Observing System (EOS). 
The ASTER project collects and archives data to create detailed maps of land surface temperature, reflectance, and elevation.  The ASTER project is a collaboration between NASA and the Japanese government to develop a scientific understanding of the Earth.",Open,1999,United States,Open - http://asterweb.jpl.nasa.gov/data.asp,"Closed (Responsible organization only, no outside submissions)",Governmental/Disciplinary,
Africa Centre for Health and Population Studies,http://www.africacentre.ac.za/Default.aspx?tabid=69,"University of KwaZulu-Natal, College of Health Sciences","Biology, Demography, Economics, HIV infections, Medicine","The Africa Centre offers longitudinal datasets from a rural demographic in KwaZulu-Natal, South Africa where HIV prevalence is extremely high. The data may be filtered by demographics, years, or by individuals questionnaires. The Africa Centre requests notification that anyone contact them when downloading their data. ",Open,2000,South Africa,Open; http://www.africacentre.ac.za/Datasets/tabid/69/Default.aspx,"Closed (Responsible organization only, no outside submissions)",Multidisciplinary,
Agency for Healthcare Research and Quality (AHRQ),http://www.ahrq.gov/data/,U.S. Department of Health and Human Services (HHS),"Medical policy, Health care reform--U.S. states, Health insurance, Human anatomy, Health","These datasets are made available by the United States Department of Health and Human Services, Agency for Healthcare Research and Quality. This agency includes the Systematic Review Data Repository and data sources on healthcare cost, quality, and accessibility, emergency room visits, hospitalization, and medical insurance.",Open,,United States,http://www.ahrq.gov/about/casestudies/,Closed,Governmental/Disciplinary,
Agri-Environmental Research Data Repository,http://dataverse.scholarsportal.info/dvn/dv/ugardr,University of Guelph,"Agriculture--Environmental aspects, Agriculture","The Agri-Environmental Research Data Repository includes datasets from several studies conducted by researchers at the University of Guelph. This repository includes data on topics such as crop yield, soil moisture, weather and agroforestry.",Open,,Canada,Terms of use are explained for each study.,Affiliation with University of Guelph,Institutional/Disciplinary,
Agricultural Scientific Data Sharing Center,http://www.agridata.cn/,Chinese Academy of Agriculture Sciences,Agriculture,"Agricultural Scientific Data Sharing Center is one of platforms funded by National Science and Technology Infrastructure program, a nation-level program for S&T resources open, cosharing and utilization efficiently. This center includes data on topics such as crop yield, zoology, agriculture regionalization, fishery and prataculture.",Open,2007,China,,,Governmental/Disciplinary,
AidData,http://www.aiddata.org/,AidData Partners,"Economic assistance, Economic development","AidData contains information about international economic development assistance, dating back to 1947. AidData provides a searchable database of nearly one million past and present aid activities around the world, aid information management services and tools, data visualization technologies, and research designed to increase understanding of development finance. AidData is searchable by topic such as disaster prevention, energy supply, water supply or reconstruction relief. You may also search by specific regions including Africa, Europe, America, Asia, or Oceania.  ",Open,2009,United States,http://www.aiddata.org/content/index/about/terms-conditions,Accepting data for deposit,Disciplinary,
AIMS Data Centre,http://data.aims.gov.au,Australian Institute of Marine Science,"Marine sciences, Reefs","The Australian Institute of Marine Science (AIMS) is a tropical marine research center. Data are available on topics including reef weather, sea temperature, cyclones, and water quality.",Open. Access to some data will be via legal data agreement.,1972,Australia,CC BY 3.0,"Closed (Responsible organization only, no outside submissions)",Disciplinary,
Aktuelle Wetterwerte deutscher Stationen,http://imkhp2.physik.uni-karlsruhe.de/~muehr/wetterwerte.html,,,,open; Copyrights - http://imkhp2.physik.uni-karlsruhe.de/~muehr/wetter.html,2008,Germany,open; Copyrights - http://imkhp2.physik.uni-karlsruhe.de/~muehr/wetter.html,closed,institutional/disciplinary,
ALADDIN (A Labelled Atomic Data INterface),http://www-amdis.iaea.org/ALADDIN/,"International Atomic and Molecular Data Centre network, A+M & PMI Data Centre Network , International Atomic Energy Agency, IAEA",,"Numerical database of atomic and molecular processes and particle-surface interactions. ALADDIN has formatted data on atomic structure and spectra (energy levels,wave lengths, and transition probabilities); electron and heavy particle collisions with atoms, ions, and molecules (cross sections and/or rate coefficients, including, in most cases, analytic fit to the data); sputtering of surfaces by impact of main plasma constituents and self
sputtering; particle reflection from surfaces; thermophysical and thermomechanical properties of beryllium and pyrolytic graphites.",open,,Austria,open; other - Disclaimer,closed,disciplinary,
Alaska Climate Research Center,http://climate.gi.alaska.edu/,"Geophysical Institute, University of Alaska Fairbanks","Climatology, Meteorology","The Alaska Climate Research Center archives and provides digital climate records, climate statistics, and monthly weather summaries on Alaska and the polar regions. The Alaska Climate Research Center is part of the Geophysical Institute at the University of Alaska Fairbanks.",Open,2002,United States,Open; http://climate.gi.alaska.edu/About/index.html,Membership in University of Alaska affiliated organization,Institutional/Disciplinary,
Alaska Ocean Observing System,http://www.aoos.org/,Integrated Ocean Observing System (IOOS),"Coastal ecology, Marine ecology, Oceanography","Alaska Ocean Observing System (AOOS) provides ocean and coastal observations data.  The AOOS is governed by  the Integrated Ocean Observing System (IOOS) which is an international organization that partners federal, regional, academic and private sector groups.",Open,2004,United States,Open; http://www.aoos.org/aoos-governance/data-management-advisory-committee/,Membership in Integrated Ocean Observing System (IOOS) research organizations,Institutional/Disciplinary,
Alaska Satellite Facility - Synthetic Aperture Radar Distributed Active Archive Center,http://www.asf.alaska.edu/,"Alaska Satellite Facility, Geophysical Institute, University of Alaska [Fairbanks, AK]","Remote sensing, Earth resources technology satellites","The Alaska Satellite Facility (ASF) of the Geophysical Institute at the University of Alaska Fairbanks (UAF), downlinks, processes, archives, and distributes remote-sensing data to scientific users around the world. ",Open and closed,NA,United States,Open and closed; see http://www.asf.alaska.edu/program/sdc/data for access info on restricted and unrestricted data sets.,NA,institutional / disciplinary,
Alberta Geological Survey,http://www.ags.gov.ab.ca/,"Energy Resources Conservation Board, Alberta Geology Survey, AGS",,"Alberta Geological Survey provides geological information to help with the exploration, development and conservation of Alberta's resources",open; Copyrights - http://www.ags.gov.ab.ca/legal.html#copyright,1996,Canada,open; Copyrights - http://www.ags.gov.ab.ca/legal.html#copyright,restricted: registration,disciplinary,
ALLBUS (Allgemeine Bev�lkerungsumfrage der Sozialwissenschaften) (German General Social Survey),http://www.gesis.org/allbus/,"GESIS FDZ ALLBUS, RatSWD",Social sciences,"The German General Social Survey (ALLBUS) collects up-to-date data on attitudes, behavior, and social structure in Germany. Every two years since 1980 a representative cross section of the population is surveyed using both constant and variable questions. The ALLBUS data become available to interested parties for research and teaching as soon as they are processed and documented. ",open,1980,Germany,restricted; Copyrights - http://www.gesis.org/en/institute/imprint/,closed,disciplinary,
